2024-02-07 14:21:47.506 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 88.1870 ms
2024-02-07 14:22:59.652 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 3.2701 ms
2024-02-07 14:23:09.916 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 67.9930 ms
2024-02-07 14:23:23.383 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 82.2835 ms
2024-02-07 14:25:33.012 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 131.9791 ms
2024-02-07 14:25:55.392 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 2.2072 ms
2024-02-07 14:28:02.996 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 7.6458 ms
2024-02-07 14:29:28.471 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 5.4469 ms
2024-02-07 14:32:23.089 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 167.6941 ms
2024-02-07 14:32:38.665 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 3.5103 ms
2024-02-07 14:32:41.398 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 4.0651 ms
