2024-02-12 10:00:28.801 -07:00 [INF] Now listening on: http://localhost:5035
2024-02-12 10:00:28.821 -07:00 [INF] Application started. Press Ctrl+C to shut down.
2024-02-12 10:00:28.821 -07:00 [INF] Hosting environment: Development
2024-02-12 10:00:28.821 -07:00 [INF] Content root path: C:\Users\w_can\OneDrive\Desktop\Projects\NewMxLogBook\MxLogBook\MxLogBook
2024-02-12 10:00:52.635 -07:00 [WRN] Failed to determine the https port for redirect.
2024-02-12 10:00:54.467 -07:00 [INF] HTTP POST /api/Auth/login responded 401 in 1833.5079 ms
2024-02-12 10:21:52.583 -07:00 [INF] HTTP POST /api/Auth/login responded 400 in 11.2640 ms
2024-02-12 10:23:01.498 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 541.2071 ms
2024-02-12 10:30:45.054 -07:00 [INF] HTTP POST /api/Auth/login responded 401 in 44.4201 ms
2024-02-12 10:30:58.097 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 100.6094 ms
2024-02-12 10:31:00.489 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 95.4907 ms
2024-02-12 10:31:03.750 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 90.1721 ms
2024-02-12 10:31:04.496 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 87.3036 ms
2024-02-12 10:31:11.331 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 87.2119 ms
2024-02-12 10:31:13.303 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 59.8904 ms
2024-02-12 10:31:13.517 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 87.4794 ms
2024-02-12 10:31:13.699 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 86.0224 ms
2024-02-12 10:31:30.429 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 88.7935 ms
2024-02-12 10:32:10.606 -07:00 [INF] HTTP POST /api/Auth/login responded 400 in 0.7976 ms
2024-02-12 10:32:15.575 -07:00 [INF] HTTP POST /api/Auth/login responded 401 in 2.3937 ms
2024-02-12 10:32:57.850 -07:00 [INF] HTTP POST /api/Auth/login responded 401 in 4.9561 ms
2024-02-12 10:36:34.098 -07:00 [INF] HTTP POST /api/Auth/login responded 401 in 32.1960 ms
2024-02-12 10:39:21.819 -07:00 [INF] HTTP POST /api/Auth/login responded 401 in 2.1349 ms
2024-02-12 10:39:33.097 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 89.8618 ms
2024-02-12 10:40:28.025 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 71.2574 ms
2024-02-12 10:47:47.122 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 200.3549 ms
2024-02-12 12:40:53.239 -07:00 [INF] HTTP POST /api/Auth/login responded 400 in 4.9065 ms
2024-02-12 12:41:03.066 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 152.8726 ms
2024-02-12 12:43:58.151 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 84.1456 ms
2024-02-12 12:47:29.646 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 117.4452 ms
2024-02-12 12:53:13.240 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 104.6232 ms
2024-02-12 12:53:46.090 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 86.8065 ms
2024-02-12 12:55:03.630 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 88.3105 ms
2024-02-12 12:55:47.299 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 78.9395 ms
2024-02-12 12:56:42.857 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 82.7694 ms
2024-02-12 12:57:04.485 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 66.2249 ms
2024-02-12 12:58:39.708 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 102.8756 ms
2024-02-12 13:01:13.391 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 96.9238 ms
2024-02-12 13:02:02.814 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 92.7272 ms
2024-02-12 13:04:09.229 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 104.6452 ms
2024-02-12 13:23:03.672 -07:00 [INF] HTTP GET /api/Vehicles/1 responded 401 in 36.3409 ms
2024-02-12 13:23:48.066 -07:00 [INF] HTTP POST /api/Auth/refreshtoken responded 400 in 8.3688 ms
2024-02-12 13:24:03.609 -07:00 [INF] HTTP POST /api/Auth/refreshtoken responded 200 in 60.9303 ms
2024-02-12 13:25:18.521 -07:00 [INF] HTTP GET /api/Vehicles/1 responded 200 in 108.6115 ms
2024-02-12 13:48:12.551 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 106.9161 ms
2024-02-12 14:16:09.150 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 223.4031 ms
2024-02-12 14:17:05.489 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 59.2994 ms
2024-02-12 14:17:43.391 -07:00 [INF] HTTP GET /api/Vehicles/1 responded 200 in 11.0405 ms
2024-02-12 14:17:51.019 -07:00 [INF] HTTP GET /api/Vehicles/1 responded 200 in 3.0832 ms
2024-02-12 14:18:45.102 -07:00 [INF] HTTP GET /api/Vehicles/1 responded 200 in 2.6092 ms
2024-02-12 14:20:51.926 -07:00 [INF] HTTP GET /api/Vehicles/1 responded 200 in 2.4138 ms
2024-02-12 14:21:01.329 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 25.2699 ms
2024-02-12 14:21:38.897 -07:00 [INF] HTTP GET /api/Vehicles/{id} responded 400 in 4.0688 ms
2024-02-12 14:22:00.333 -07:00 [INF] HTTP GET /api/Vehicles/{id} responded 400 in 0.6769 ms
2024-02-12 14:23:50.897 -07:00 [INF] HTTP GET /api/Vehicles/5 responded 200 in 30.6452 ms
2024-02-12 14:24:03.660 -07:00 [INF] HTTP GET /api/Vehicles/5 responded 200 in 2.3454 ms
2024-02-12 14:24:05.840 -07:00 [INF] HTTP GET /api/Vehicles/5 responded 200 in 1.9043 ms
2024-02-12 14:26:18.665 -07:00 [INF] HTTP GET /api/Vehicles/5 responded 200 in 5.2802 ms
2024-02-12 14:26:33.766 -07:00 [INF] HTTP GET /api/Vehicles/6 responded 404 in 2.1254 ms
2024-02-12 14:26:37.072 -07:00 [INF] HTTP GET /api/Vehicles/6 responded 404 in 1.9487 ms
2024-02-12 14:32:40.487 -07:00 [INF] HTTP GET /api/Vehicles/6 responded 401 in 0.8491 ms
2024-02-12 14:33:20.185 -07:00 [INF] HTTP GET /api/Vehicles/6 responded 401 in 0.5176 ms
2024-02-12 14:33:36.751 -07:00 [INF] HTTP POST /api/Auth/login responded 200 in 119.4302 ms
2024-02-12 14:33:38.850 -07:00 [INF] HTTP GET /api/Vehicles/6 responded 404 in 5.3380 ms
